technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Sharp (intelligent),Insensitive,"Insufficient social
support",Experimentation,51,Nepalgunj
Well-trained,Insensitive,Anti-state,Political support,51,Nepalgunj
Well-networked,Inhuman Psyche,Rebellious,Political beliefs,53,Jitpur
Bully,Loner,Broken homes/families,Intolerance,45,Jitpur
Creative,Gullible,Misguided,Anger,19,Hetauda
Goal oriented,Impatient,Intolerance to diversity of opinion,Revenge,28,Dhangadi
Well trained,Aggressive,Misguided,Curiosity,19,Kalaiya
Sharp (intelligent),Emotional,Low self-worth,Thrill-seeking,53,Butwal
Creative,Risk-taker,Anti-establishment,Plain boredom,16,Mahendranagar
Focussed,Coercive,Anti-state,Monetary Gain,47,Lalitpur
Creative,Coward,Mass-destruction,Intolerance,56,Bhaktapur
Opportunists,Conviction in Violence,Reinforcement available,No fear of punishment,53,Biratnagar
Well-networked,Secretive,Rationalization,Monetary Gain,57,Jitpur
Skilful,Immoral/ Unethical,Brain-washed,Political support,64,Kathmandu
Well-trained,Conviction in Violence,Reinforcement available,Emotions,44,Dhangadi
Bully,Risk-taker,Mass-destruction,"Enhancing self-
worth",40,Dharan
Strategic planners,Aggressive,Lack Social skills,Risk tolerance,65,Nepalgunj
Well-networked,Loner,Misguided,Manipulate others,18,Dhangadi
Opportunists,"Psychologically
Deviant",Marginalised,Monetary Gain,30,Itahari
Bully,Coercive,Mass-destruction,Monetary Gain,32,Hetauda
Resourceful,Identity crisis,Unlawful,Monetary Gain,27,Bhaktapur
Creative,Psychiatric conditions,Low self-worth,"Enhancing self-
worth",63,Kalaiya
Skilful,Control freak,Inferiority complex,Plain boredom,16,Biratnagar
Resourceful,Insensitive,Reinforcement available,"Enhancing self-
worth",60,Bhaktapur
Strategic planners,Coward,Lack Social skills,Emotions,16,Janakpur
Goal oriented,Insensitive,Brain-washed,Monetary Gain,63,Hetauda
Skilful,Incited,Rationalization,Political support,23,Mahendranagar
Creative,Risk-taker,Anti-state,Need to Control others,22,Bharatpur
Well-networked,Secretive,Need to outsmart others,Lust,64,Mahendranagar
Well trained,"Psychologically
Deviant",Brain-washed,Plain boredom,29,Ghorahi
Focussed,Incited,Rebellious,Plain boredom,54,Kathmandu
Focussed,Immoral/ Unethical,Marginalised,Risk tolerance,41,Lalitpur
Strategic planners,Insensitive,Brain-washed,Intolerance,17,Kalaiya
Resourceful,Emotional,Anti-social,Emotions,23,Kalaiya
Strategic planners,Inhuman Psyche,Rebellious,Curiosity,19,Ghorahi
Well trained,Incited,Lack Social skills,Lust,54,Bharatpur
Bully,Incited,Marginalised,Manipulate others,35,Jitpur
Resourceful,Aggressive,Anti-state,"Religious
fundamentalism",56,Janakpur
Bully,Secretive,Broken homes/families,Lust,34,Bharatpur
Skilful,Coward,Misguided,Anger,18,Hetauda
Well-networked,Incited,Unlawful,Experimentation,34,Biratnagar
Well trained,Secretive,Unlawful,Emotions,27,Bharatpur
Bully,Insensitive,Reinforcement available,Need to Control others,32,Itahari
Skilful,"Psychologically
Deviant",Low self-worth,Need to Control others,39,Bharatpur
Smart,"Psychologically
Deviant",Need to outsmart others,Revenge,30,Janakpur
Goal oriented,Control freak,Brain-washed,Intolerance,16,Mahendranagar
Resourceful,Coward,"Insufficient social
support","Greed (easy, quick money)",24,Biratnagar
Resourceful,Passionate,"Insufficient social
support",Risk tolerance,58,Bhaktapur
Well-organized,Coward,"Insufficient social
support",Thrill-seeking,53,Hetauda
Resourceful,Inhuman Psyche,Reinforcement available,No fear of punishment,46,Biratnagar
Well-organized,Coercive,Anti-state,Monetary Gain,21,Dhangadi
Strategic planners,Inhuman Psyche,Anti-state,"Greed (easy, quick money)",54,Bharatpur
Well-networked,"Psychologically
Deviant",Marginalised,"Religious
fundamentalism",44,Butwal
Focussed,Strong-willed,Inferiority complex,Political beliefs,44,Mahendranagar
Strategic planners,Passionate,Misguided,Need to Control others,43,Birgunj
Well trained,Aggressive,Lack Social skills,Manipulate others,57,Jitpur
Creative,Loner,Rationalization,Thrill-seeking,44,Pokhara
Smart,Selfish,Social dissatisfaction,Revenge,28,Dharan
Sharp (intelligent),Immoral/ Unethical,Misguided,"Enhancing self-
worth",62,Bharatpur
Sharp (intelligent),"Psychologically
Deviant",Anti-state,Disregard for law,60,Kathmandu
Skilful,Identity crisis,Rebellious,Intolerance,65,Janakpur
Strategic planners,Immoral/ Unethical,Social dissatisfaction,No fear of punishment,52,Bhaktapur
Well-trained,Selfish,Misguided,Manipulate others,22,Dharan
Skilful,Selfish,Radical,"Enhancing self-
worth",17,Janakpur
Creative,Impatient,Reinforcement available,No fear of punishment,35,Butwal
Goal oriented,Impatient,Anti-state,Curiosity,22,Itahari
Sharp (intelligent),Insensitive,Marginalised,Risk tolerance,32,Butwal
Opportunists,Insensitive,Brain-washed,Revenge,19,Biratnagar
Creative,Conviction in Violence,Marginalised,Lust,16,Jitpur
Focussed,Insensitive,Mass-destruction,"Enhancing self-
worth",52,Dhangadi
Well-trained,Insensitive,Unlawful,Monetary Gain,61,Birgunj
Smart,Chaotic state of mind,Intolerance to diversity of opinion,Thrill-seeking,35,Nepalgunj
Bully,"Psychologically
Deviant",Mass-destruction,Risk tolerance,38,Kalaiya
Bully,Passionate,Brain-washed,Need to Control others,51,Biratnagar
Bully,Determined,Rationalization,"Concealed
existence",57,Bhaktapur
Smart,Loner,Misguided,Curiosity,63,Mahendranagar
Smart,Passionate,Reinforcement available,Plain boredom,35,Bhaktapur
Skilful,Control freak,Rationalization,"Greed (easy, quick money)",59,Kathmandu
Skilful,Coward,Rebellious,Monetary Gain,24,Jitpur
Bully,Aggressive,Unlawful,Political support,25,Hetauda
Smart,Identity crisis,Anti-establishment,Risk tolerance,62,Ghorahi
Well-organized,Inhuman Psyche,Social dissatisfaction,Revenge,28,Pokhara
Focussed,Vengeful,Low self-worth,Anger,27,Kathmandu
Focussed,Determined,Inferiority complex,No fear of punishment,37,Birgunj
Focussed,Impatient,Socially inept,Thrill-seeking,56,Jitpur
Sharp (intelligent),Emotional,Brain-washed,Need to Control others,53,Nepalgunj
Focussed,Control freak,Marginalised,"Concealed
existence",65,Kathmandu
Resourceful,Determined,Unlawful,Revenge,40,Kathmandu
Skilful,Incited,Inferiority complex,"Religious
fundamentalism",21,Janakpur
Opportunists,Emotional,Social dissatisfaction,Plain boredom,38,Birgunj
Bully,Insensitive,Misguided,Disregard for law,61,Tulsipur
Well-organized,Immoral/ Unethical,Anti-establishment,"Concealed
existence",52,Lalitpur
Strategic planners,Control freak,Misguided,"Religious
fundamentalism",34,Jitpur
Bully,Loner,Socially inept,"Concealed
existence",56,Tulsipur
Goal oriented,Inhuman Psyche,Intolerance to diversity of opinion,Emotions,56,Kathmandu
Resourceful,Incited,Anti-social,Curiosity,62,Lalitpur
Skilful,Conviction in Violence,Broken homes/families,No fear of punishment,16,Birgunj
Well-networked,Chaotic state of mind,Misguided,Disregard for law,35,Kathmandu
Sharp (intelligent),Passionate,Brain-washed,"Enhancing self-
worth",22,Ghorahi
Strategic planners,Aggressive,Radical,"Greed (easy, quick money)",40,Ghorahi
Well-networked,Coward,Broken homes/families,Disregard for law,56,Ghorahi
Strategic planners,Coercive,Social dissatisfaction,Disregard for law,63,Jitpur
Well-trained,Impatient,Misguided,"Greed (easy, quick money)",23,Hetauda
Well-organized,Determined,Marginalised,Intolerance,47,Jitpur
Goal oriented,Incited,Reinforcement available,Emotions,51,Bharatpur
Focussed,Insensitive,"Insufficient social
support",Lust,36,Dharan
Resourceful,Gullible,Lack Social skills,Risk tolerance,61,Bharatpur
Creative,Vengeful,"Insufficient social
support",Monetary Gain,34,Dhangadi
Smart,"Psychologically
Deviant",Social dissatisfaction,Revenge,56,Itahari
Strategic planners,Control freak,Brain-washed,Revenge,57,Pokhara
Well-organized,Conviction in Violence,Intolerance to diversity of opinion,"Greed (easy, quick money)",63,Pokhara
Opportunists,Identity crisis,Anti-social,Risk tolerance,60,Hetauda
Well-trained,Impatient,Anti-establishment,Monetary Gain,59,Kathmandu
Strategic planners,Incited,Unlawful,"Enhancing self-
worth",50,Ghorahi
Sharp (intelligent),Inhuman Psyche,Marginalised,"Religious
fundamentalism",38,Tulsipur
Well-trained,Psychiatric conditions,Radical,Thrill-seeking,42,Janakpur
Skilful,Incited,Radical,Monetary Gain,63,Tulsipur
Resourceful,Incited,Mass-destruction,Plain boredom,50,Biratnagar
Smart,Coward,Rationalization,Political beliefs,35,Bharatpur
Well trained,Aggressive,Anti-establishment,Disregard for law,33,Dhangadi
Well trained,Incited,Lack Social skills,No fear of punishment,34,Butwal
Sharp (intelligent),Impatient,Anti-establishment,Anger,40,Kathmandu
Opportunists,Vengeful,Anti-establishment,Political support,34,Birgunj
Goal oriented,Coercive,Broken homes/families,"Religious
fundamentalism",25,Kathmandu
Opportunists,Incited,Rebellious,"Concealed
existence",52,Janakpur
Focussed,Chaotic state of mind,Intolerance to diversity of opinion,"Religious
fundamentalism",55,Kalaiya
Smart,Coercive,Mass-destruction,Revenge,20,Pokhara
Resourceful,Impatient,Intolerance to diversity of opinion,Political beliefs,19,Itahari
Well-organized,Impatient,Rationalization,Monetary Gain,63,Butwal
Well-organized,Chaotic state of mind,Need to outsmart others,Monetary Gain,65,Nepalgunj
Well-organized,Selfish,Brain-washed,Emotions,55,Biratnagar
Smart,Aggressive,Low self-worth,Curiosity,16,Biratnagar
Well-organized,Secretive,Anti-social,Plain boredom,30,Pokhara
Focussed,Secretive,Anti-establishment,Political support,39,Tulsipur
Bully,Selfish,Anti-state,No fear of punishment,31,Dharan
Well-trained,Passionate,Anti-establishment,No fear of punishment,53,Ghorahi
Opportunists,Coward,Socially inept,Curiosity,18,Biratnagar
Well trained,Strong-willed,Anti-social,"Religious
fundamentalism",40,Dhangadi
Well-networked,Chaotic state of mind,Broken homes/families,Political beliefs,23,Mahendranagar
Well-organized,Coercive,Need to outsmart others,Experimentation,59,Birgunj
Strategic planners,Chaotic state of mind,Reinforcement available,Lust,26,Birgunj
Skilful,Loner,Intolerance to diversity of opinion,"Religious
fundamentalism",20,Pokhara
Sharp (intelligent),"Psychologically
Deviant",Marginalised,"Concealed
existence",39,Bharatpur
Strategic planners,Incited,Reinforcement available,Revenge,47,Lalitpur
Resourceful,Gullible,Unlawful,No fear of punishment,60,Tulsipur
Sharp (intelligent),Insensitive,Reinforcement available,Monetary Gain,48,Dharan
Resourceful,Gullible,Anti-state,Manipulate others,42,Dhangadi
Smart,Impatient,Reinforcement available,"Enhancing self-
worth",26,Hetauda
Strategic planners,Risk-taker,Brain-washed,No fear of punishment,44,Dhangadi
Well-networked,Selfish,"Insufficient social
support",Manipulate others,20,Kathmandu
Goal oriented,Insensitive,Marginalised,Experimentation,64,Pokhara
Well-networked,Immoral/ Unethical,Reinforcement available,Monetary Gain,36,Pokhara
Focussed,Incited,Lack Social skills,Emotions,30,Janakpur
Strategic planners,Risk-taker,Anti-state,"Concealed
existence",42,Nepalgunj
Goal oriented,Psychiatric conditions,Inferiority complex,Plain boredom,33,Janakpur
Resourceful,Immoral/ Unethical,Need to outsmart others,Plain boredom,46,Hetauda
Well trained,Psychiatric conditions,Rationalization,Curiosity,35,Kathmandu
Focussed,Loner,Anti-state,Emotions,23,Hetauda
Well-networked,Selfish,Rationalization,Thrill-seeking,57,Bhaktapur
Opportunists,Determined,Mass-destruction,Intolerance,41,Bharatpur
Smart,Vengeful,Lack Social skills,"Enhancing self-
worth",52,Ghorahi
Well-organized,Coercive,Misguided,Plain boredom,34,Butwal
Smart,Determined,Brain-washed,Manipulate others,54,Biratnagar
Well trained,Emotional,Low self-worth,Anger,44,Bhaktapur
Focussed,Strong-willed,Social dissatisfaction,Emotions,51,Kathmandu
Well-networked,Emotional,Reinforcement available,Need to Control others,40,Janakpur
Goal oriented,Loner,Lack Social skills,Lust,62,Itahari
Strategic planners,Risk-taker,Unlawful,Political beliefs,25,Dhangadi
Focussed,Conviction in Violence,Mass-destruction,Risk tolerance,25,Butwal
Opportunists,Gullible,"Insufficient social
support",No fear of punishment,43,Kalaiya
Well-networked,Secretive,Low self-worth,Thrill-seeking,21,Pokhara
Well-trained,Selfish,Anti-state,Political beliefs,18,Ghorahi
Well trained,Selfish,Misguided,Revenge,45,Jitpur
Well-networked,Passionate,Rationalization,Lust,44,Bharatpur
Well-networked,"Psychologically
Deviant",Rebellious,Monetary Gain,48,Nepalgunj
Goal oriented,Selfish,Marginalised,Experimentation,30,Janakpur
Creative,Selfish,Inferiority complex,Curiosity,63,Mahendranagar
Bully,Coercive,Need to outsmart others,Intolerance,58,Kalaiya
Goal oriented,Selfish,Rebellious,Lust,26,Janakpur
Smart,Insensitive,Misguided,Lust,57,Hetauda
Well-organized,Incited,Need to outsmart others,Risk tolerance,42,Ghorahi
Creative,Chaotic state of mind,Socially inept,Lust,55,Butwal
Well-trained,Selfish,Marginalised,Plain boredom,16,Ghorahi
Opportunists,Selfish,Need to outsmart others,Emotions,45,Pokhara
Bully,Selfish,Misguided,Monetary Gain,19,Itahari
Smart,Inhuman Psyche,Broken homes/families,No fear of punishment,48,Mahendranagar
Well-trained,Secretive,Broken homes/families,Political beliefs,55,Lalitpur
Well-networked,Loner,Rebellious,"Religious
fundamentalism",43,Ghorahi
Skilful,Risk-taker,Rationalization,Lust,60,Dhangadi
Well-networked,Immoral/ Unethical,Need to outsmart others,Thrill-seeking,26,Bhaktapur
Smart,Psychiatric conditions,Inferiority complex,Political beliefs,62,Kathmandu
Creative,Emotional,Socially inept,Experimentation,63,Tulsipur
Well trained,Selfish,Anti-establishment,Need to Control others,36,Kathmandu
Goal oriented,Identity crisis,Intolerance to diversity of opinion,"Concealed
existence",60,Dharan
Opportunists,Identity crisis,Need to outsmart others,"Greed (easy, quick money)",24,Jitpur
Strategic planners,Coward,Anti-establishment,"Greed (easy, quick money)",36,Birgunj
Well-networked,Gullible,Anti-state,Revenge,47,Lalitpur
Smart,Aggressive,Brain-washed,Plain boredom,52,Biratnagar
Focussed,Loner,Intolerance to diversity of opinion,Anger,27,Lalitpur
Well trained,Psychiatric conditions,Anti-social,Political support,34,Bhaktapur
Strategic planners,Chaotic state of mind,Rationalization,Lust,29,Birgunj
Focussed,Insensitive,Reinforcement available,Curiosity,44,Ghorahi
Skilful,Insensitive,Anti-establishment,No fear of punishment,50,Pokhara
Goal oriented,Chaotic state of mind,Anti-establishment,Monetary Gain,54,Ghorahi
Smart,Emotional,Reinforcement available,No fear of punishment,48,Kalaiya
Well trained,Aggressive,Low self-worth,Thrill-seeking,30,Dhangadi
Goal oriented,Gullible,Low self-worth,Curiosity,59,Ghorahi
Bully,Determined,Misguided,Curiosity,60,Tulsipur
Creative,Secretive,Need to outsmart others,Disregard for law,33,Butwal
Sharp (intelligent),Passionate,Low self-worth,Anger,20,Jitpur
Strategic planners,Aggressive,Anti-social,Political support,16,Nepalgunj
Goal oriented,Inhuman Psyche,Marginalised,Manipulate others,32,Ghorahi
Well trained,Risk-taker,Intolerance to diversity of opinion,Revenge,33,Tulsipur
Smart,Control freak,Rebellious,No fear of punishment,27,Tulsipur
Goal oriented,Insensitive,Need to outsmart others,Monetary Gain,57,Kathmandu
Opportunists,Strong-willed,Anti-establishment,Risk tolerance,40,Dhangadi
Skilful,Control freak,Misguided,Curiosity,58,Biratnagar
Well-trained,Insensitive,Rationalization,No fear of punishment,18,Kalaiya
Goal oriented,Inhuman Psyche,Rationalization,Experimentation,56,Nepalgunj
Skilful,Immoral/ Unethical,Need to outsmart others,Political beliefs,64,Itahari
Goal oriented,Aggressive,Broken homes/families,"Concealed
existence",65,Ghorahi
Sharp (intelligent),Insensitive,Low self-worth,Experimentation,61,Hetauda
Skilful,Aggressive,Mass-destruction,No fear of punishment,61,Kathmandu
Creative,Chaotic state of mind,Anti-social,Experimentation,26,Dhangadi
Sharp (intelligent),Loner,Unlawful,Political support,60,Mahendranagar
Well-organized,Secretive,Need to outsmart others,"Greed (easy, quick money)",37,Hetauda
Bully,Conviction in Violence,Rebellious,"Enhancing self-
worth",16,Dhangadi
Well-trained,Conviction in Violence,Socially inept,Intolerance,27,Pokhara
Sharp (intelligent),Loner,Marginalised,Revenge,27,Janakpur
Well-organized,Insensitive,Rationalization,Political beliefs,34,Tulsipur
Well-trained,Inhuman Psyche,Broken homes/families,Lust,55,Dharan
Skilful,Coward,Socially inept,Thrill-seeking,35,Biratnagar
Well trained,Inhuman Psyche,Need to outsmart others,"Concealed
existence",33,Dharan
Well trained,Incited,Socially inept,No fear of punishment,40,Dharan
Goal oriented,Psychiatric conditions,Reinforcement available,Disregard for law,41,Ghorahi
